Country,Year,Happiness Score,gdp_per_capita,social_support,life_expectancy,freedom_of_choice,generosity,perceptions_of_corruption
Cameroon,2019,5.044,0.549,0.91,0.331,0.381,0.187,0.037
Bulgaria,2019,5.011,1.092,1.513,0.815,0.311,0.081,0.004
Ghana,2019,4.996,0.611,0.868,0.486,0.381,0.245,0.04
Ivory Coast,2019,4.944,0.569,0.808,0.232,0.352,0.154,0.09
Nepal,2019,4.913,0.446,1.226,0.677,0.439,0.285,0.089
Jordan,2019,4.906,0.837,1.225,0.815,0.383,0.11,0.13
Benin,2019,4.883,0.393,0.437,0.397,0.349,0.175,0.082
Gabon,2019,4.799,1.057,1.183,0.571,0.295,0.043,0.055
Laos,2019,4.796,0.764,1.03,0.551,0.547,0.266,0.164
South Africa,2019,4.722,0.96,1.351,0.469,0.389,0.13,0.055
Albania,2019,4.719,0.947,0.848,0.874,0.383,0.178,0.027
Venezuela,2019,4.707,0.96,1.427,0.805,0.154,0.064,0.047
Cambodia,2019,4.7,0.574,1.122,0.637,0.609,0.232,0.062
Palestinian Territories,2019,4.696,0.657,1.247,0.672,0.225,0.103,0.066
Senegal,2019,4.681,0.45,1.134,0.571,0.292,0.153,0.072
Namibia,2019,4.639,0.879,1.313,0.477,0.401,0.07,0.056
Niger,2019,4.628,0.138,0.774,0.366,0.318,0.188,0.102
Burkina Faso,2019,4.587,0.331,1.056,0.38,0.255,0.177,0.113
Armenia,2019,4.559,0.85,1.055,0.815,0.283,0.095,0.064
Iran,2019,4.548,1.1,0.842,0.785,0.305,0.27,0.125
Guinea,2019,4.534,0.38,0.829,0.375,0.332,0.207,0.086
Georgia,2019,4.519,0.886,0.666,0.752,0.346,0.043,0.164
Kenya,2019,4.509,0.512,0.983,0.581,0.431,0.372,0.053
Mauritania,2019,4.49,0.57,1.167,0.489,0.066,0.106,0.088
Mozambique,2019,4.466,0.204,0.986,0.39,0.494,0.197,0.138
Tunisia,2019,4.461,0.921,1,0.815,0.167,0.059,0.055
Bangladesh,2019,4.456,0.562,0.928,0.723,0.527,0.166,0.143
Iraq,2019,4.437,1.043,0.98,0.574,0.241,0.148,0.089
Mali,2019,4.39,0.385,1.105,0.308,0.327,0.153,0.052
Sierra Leone,2019,4.374,0.268,0.841,0.242,0.309,0.252,0.045
Sri Lanka,2019,4.366,0.949,1.265,0.831,0.47,0.244,0.047
Myanmar,2019,4.36,0.71,1.181,0.555,0.525,0.566,0.172
Chad,2019,4.35,0.35,0.766,0.192,0.174,0.198,0.078
Ukraine,2019,4.332,0.82,1.39,0.739,0.178,0.187,0.01
Ethiopia,2019,4.286,0.336,1.033,0.532,0.344,0.209,0.1
Uganda,2019,4.189,0.332,1.069,0.443,0.356,0.252,0.06
Egypt,2019,4.166,0.913,1.039,0.644,0.241,0.076,0.067
Zambia,2019,4.107,0.578,1.058,0.426,0.431,0.247,0.087
Togo,2019,4.085,0.275,0.572,0.41,0.293,0.177,0.085
India,2019,4.015,0.755,0.765,0.588,0.498,0.2,0.085
Liberia,2019,3.975,0.073,0.922,0.443,0.37,0.233,0.033
Madagascar,2019,3.933,0.274,0.916,0.555,0.148,0.169,0.041
Lesotho,2019,3.802,0.489,1.169,0.168,0.359,0.107,0.093
Zimbabwe,2019,3.663,0.366,1.114,0.433,0.361,0.151,0.089
Botswana,2019,3.488,1.041,1.145,0.538,0.455,0.025,0.1
Malawi,2019,3.41,0.191,0.56,0.495,0.443,0.218,0.089
Yemen,2019,3.38,0.287,1.163,0.463,0.143,0.108,0.077
Rwanda,2019,3.334,0.359,0.711,0.614,0.555,0.217,0.411
Tanzania,2019,3.231,0.476,0.885,0.499,0.417,0.276,0.147
Afghanistan,2019,3.203,0.35,0.517,0.361,0,0.158,0.025
Finland,2020,7.809,10.639,0.954,71.901,0.949,-0.059,0.195
Denmark,2020,7.646,10.774,0.956,72.403,0.951,0.066,0.168
Iceland,2020,7.504,10.773,0.975,73,0.949,0.247,0.712
Switzerland,2020,7.56,10.98,0.943,74.102,0.921,0.106,0.304
Netherlands,2020,7.449,10.813,0.939,72.301,0.909,0.208,0.365
Luxembourg,2020,7.238,11.451,0.907,72.6,0.906,-0.005,0.367
Sweden,2020,7.353,10.759,0.926,72.601,0.939,0.112,0.251
Norway,2020,7.488,11.088,0.952,73.201,0.956,0.135,0.263
Israel,2020,7.129,10.418,0.914,73.2,0.748,0.103,0.781
New Zealand,2020,7.3,10.501,0.949,73.203,0.936,0.192,0.221
Austria,2020,7.294,10.743,0.928,73.003,0.9,0.085,0.5
Australia,2020,7.223,10.721,0.945,73.605,0.915,0.19,0.415
Ireland,2020,7.094,11.161,0.942,72.301,0.887,0.146,0.357
Germany,2020,7.076,10.733,0.899,72.202,0.867,0.08,0.456
Canada,2020,7.232,10.692,0.927,73.602,0.934,0.125,0.391
United States,2020,6.94,10.926,0.914,68.299,0.843,0.15,0.7
United Kingdom,2020,7.165,10.6,0.937,72.302,0.835,0.264,0.436
Czech Republic,2020,6.911,10.404,0.914,70.048,0.819,-0.231,0.858
Belgium,2020,6.864,10.674,0.912,72.002,0.814,-0.079,0.612
France,2020,6.664,10.584,0.937,73.802,0.825,-0.131,0.584
Bahrain,2020,6.227,10.676,0.876,68.5,0.906,0.134,0.739
Slovenia,2020,6.363,10.392,0.94,71.103,0.936,-0.081,0.817
Costa Rica,2020,7.121,9.658,0.902,71.3,0.935,-0.102,0.786
Saudi Arabia,2020,6.406,10.798,0.874,66.305,0.854,-0.169,0.683
Taiwan Province of China,2020,6.455,10.776,0.894,69.6,0.772,-0.073,0.732
Singapore,2020,6.377,11.396,0.91,76.805,0.927,0.03,0.11
Romania,2020,6.124,10.108,0.825,67.207,0.843,-0.198,0.934
Spain,2020,6.401,10.463,0.921,74.403,0.752,-0.051,0.766
Uruguay,2020,6.44,9.948,0.923,69.003,0.892,-0.101,0.636
Italy,2020,6.387,10.482,0.89,73.602,0.665,-0.043,0.873
Kosovo,2020,6.325,9.204,0.821,63.886,0.862,0.191,0.922
Malta,2020,6.773,10.534,0.93,72.2,0.925,0.215,0.659
Lithuania,2020,6.215,10.344,0.926,67.294,0.747,-0.22,0.81
Slovakia,2020,6.281,10.348,0.922,68.906,0.75,-0.124,0.918
Estonia,2020,6.022,10.34,0.935,68.605,0.878,-0.112,0.623
Panama,2020,6.305,10.034,0.902,69.603,0.88,-0.154,0.852
Brazil,2020,6.376,9.566,0.897,66.48,0.8,-0.102,0.771
Guatemala,2020,6.399,8.925,0.817,64.809,0.908,-0.043,0.783
Kazakhstan,2020,6.058,10.115,0.935,64.61,0.812,-0.068,0.764
Cyprus,2020,6.159,10.406,0.806,73.702,0.78,0.044,0.856
Latvia,2020,5.95,10.175,0.918,66.807,0.671,-0.187,0.796
Serbia,2020,5.778,9.681,0.881,68.21,0.726,-0.074,0.844
Chile,2020,6.228,10.032,0.88,69.901,0.745,-0.066,0.838
Nicaragua,2020,6.137,8.493,0.857,67.507,0.864,0.021,0.666
Mexico,2020,6.465,9.798,0.839,68.299,0.859,-0.175,0.807
Croatia,2020,5.505,10.071,0.875,70.215,0.715,-0.129,0.916
Poland,2020,6.186,10.265,0.874,69.311,0.862,-0.205,0.687
El Salvador,2020,6.348,8.909,0.806,66.108,0.834,-0.121,0.754
Kuwait,2020,6.102,11.09,0.846,66.768,0.872,-0.1,0.761
Hungary,2020,6,10.249,0.922,67.61,0.719,-0.194,0.893
Mauritius,2020,6.101,9.957,0.91,66.404,0.89,-0.018,0.805
Uzbekistan,2020,6.258,8.74,0.927,65.108,0.975,0.248,0.501
Japan,2020,5.871,10.58,0.884,75.001,0.81,-0.247,0.655
Honduras,2020,5.953,8.425,0.822,67.199,0.871,0.087,0.801
Portugal,2020,5.911,10.264,0.887,72.402,0.889,-0.221,0.893
Argentina,2020,5.975,9.811,0.901,68.804,0.831,-0.195,0.842
Greece,2020,5.515,10.132,0.814,72.405,0.541,-0.301,0.86
South Korea,2020,5.872,10.511,0.799,73.603,0.613,-0.043,0.789
Philippines,2020,6.006,8.994,0.847,61.927,0.915,-0.105,0.734
Thailand,2020,5.999,9.742,0.89,67.251,0.905,0.269,0.886
Moldova,2020,5.608,8.777,0.843,65.013,0.722,-0.038,0.913
Jamaica,2020,5.89,9.006,0.916,67.1,0.858,-0.125,0.889
Kyrgyzstan,2020,5.542,8.148,0.887,64.106,0.909,0.155,0.888
Belarus,2020,5.54,9.78,0.907,66.104,0.639,-0.165,0.636
Colombia,2020,6.163,9.5,0.884,67.7,0.836,-0.161,0.865
Bosnia and Herzegovina,2020,5.674,9.456,0.829,67.808,0.651,0.098,0.934
Mongolia,2020,5.456,9.412,0.937,62.304,0.693,0.098,0.864
Dominican Republic,2020,5.689,9.665,0.882,65.807,0.866,-0.131,0.756
Malaysia,2020,5.384,10.263,0.817,67.102,0.895,0.115,0.839
Bolivia,2020,5.747,8.851,0.803,63.6,0.876,-0.092,0.823
China,2020,5.124,9.689,0.799,69.289,0.899,-0.181,0.754
Paraguay,2020,5.692,9.39,0.899,65.64,0.886,0.008,0.835
Peru,2020,5.797,9.456,0.831,68.1,0.825,-0.162,0.894
Montenegro,2020,5.546,9.752,0.855,68.505,0.65,-0.076,0.783
Ecuador,2020,5.925,9.246,0.836,68.5,0.86,-0.127,0.801
Vietnam,2020,5.353,8.81,0.85,67.953,0.94,-0.095,0.796
Turkmenistan,2020,5.119,9.748,0.959,62.212,0.826,0.188,0.884
Russia,2020,5.546,10.129,0.903,64.1,0.73,-0.151,0.865
Hong Kong S.A.R. of China,2020,5.51,10.935,0.846,76.772,0.78,0.135,0.421
Armenia,2020,4.677,9.1,0.757,66.751,0.712,-0.139,0.774
Tajikistan,2020,5.556,8.025,0.835,64.105,0.831,-0.025,0.592
Nepal,2020,5.137,7.925,0.786,63.779,0.798,0.154,0.738
Bulgaria,2020,5.102,9.869,0.938,66.804,0.745,-0.144,0.936
Libya,2020,5.489,9.79,0.826,62.3,0.773,-0.085,0.669
Indonesia,2020,5.286,9.37,0.808,62.156,0.871,0.52,0.876
Ivory Coast,2020,5.233,8.226,0.658,49.504,0.728,-0.044,0.791
North Macedonia,2020,5.16,9.511,0.82,67.504,0.739,-0.02,0.897
Albania,2020,4.883,9.418,0.671,68.708,0.782,-0.042,0.896
South Africa,2020,4.814,9.403,0.853,56.506,0.759,-0.11,0.843
Azerbaijan,2020,5.165,9.688,0.819,65.508,0.787,-0.24,0.553
Bangladesh,2020,4.833,8.287,0.687,64.503,0.901,-0.034,0.662
Laos,2020,4.889,8.799,0.738,58.71,0.907,0.111,0.635
Algeria,2020,5.005,9.538,0.803,65.905,0.467,-0.121,0.735
